IRF,NFkB,IFNb,p50,Stimulus,Genotype,Dataset
0.22,1.0,0.6,0,LPS,p50KO,synthetic_6
0.009,0.81,0.0,1,CpG,WT,synthetic_6
0.011,0.804,0.3,0,CpG,p50KO,synthetic_6
0.214,0.0,0.2,1,LPS,relacrelKO,synthetic_6
0.011,1.0,0.0,1,LPS,irf3irf7KO,synthetic_6
1.0,0.469,1.0,1,polyIC,WT,synthetic_6
0.957,0.0,1.0,1,polyIC,relacrelKO,synthetic_6
0.096,0.377,0.2,1,polyIC,irf3irf7KO,synthetic_6
0.0,0.467,0.0,1,polyIC,irf3irf5irf7KO,synthetic_6
0.234,0.893,0.6,1,LPS,WT,synthetic_7
0.213,0.722,0.6,0,LPS,p50KO,synthetic_7
0.01,0.728,0.0,1,CpG,WT,synthetic_7
0.008,0.781,0.3,0,CpG,p50KO,synthetic_7
0.241,0.0,0.2,1,LPS,relacrelKO,synthetic_7
0.008,1.0,0.0,1,LPS,irf3irf7KO,synthetic_7
1.0,0.474,1.0,1,polyIC,WT,synthetic_7
0.913,0.0,1.0,1,polyIC,relacrelKO,synthetic_7
0.104,0.398,0.2,1,polyIC,irf3irf7KO,synthetic_7
0.0,0.386,0.0,1,polyIC,irf3irf5irf7KO,synthetic_7
0.237,1.0,0.6,1,LPS,WT,synthetic_8
0.346,0.815,0.6,0,LPS,p50KO,synthetic_8
0.01,0.75,0.0,1,CpG,WT,synthetic_8
0.008,0.799,0.3,0,CpG,p50KO,synthetic_8
0.243,0.0,0.2,1,LPS,relacrelKO,synthetic_8
0.012,1.0,0.0,1,LPS,irf3irf7KO,synthetic_8
1.0,0.377,1.0,1,polyIC,WT,synthetic_8
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_8
0.111,0.667,0.2,1,polyIC,irf3irf7KO,synthetic_8
0.0,0.487,0.0,1,polyIC,irf3irf5irf7KO,synthetic_8
0.272,0.965,0.6,1,LPS,WT,synthetic_9
0.326,0.882,0.6,0,LPS,p50KO,synthetic_9
0.013,0.923,0.0,1,CpG,WT,synthetic_9
0.012,0.79,0.3,0,CpG,p50KO,synthetic_9
0.252,0.0,0.2,1,LPS,relacrelKO,synthetic_9
0.009,0.753,0.0,1,LPS,irf3irf7KO,synthetic_9
0.881,0.53,1.0,1,polyIC,WT,synthetic_9
0.558,0.0,1.0,1,polyIC,relacrelKO,synthetic_9
0.09,0.464,0.2,1,polyIC,irf3irf7KO,synthetic_9
0.0,0.48,0.0,1,polyIC,irf3irf5irf7KO,synthetic_9
0.195,1.0,0.6,1,LPS,WT,synthetic_10
0.256,0.869,0.6,0,LPS,p50KO,synthetic_10
0.009,0.729,0.0,1,CpG,WT,synthetic_10
0.01,0.621,0.3,0,CpG,p50KO,synthetic_10
0.242,0.0,0.2,1,LPS,relacrelKO,synthetic_10
0.007,1.0,0.0,1,LPS,irf3irf7KO,synthetic_10
0.985,0.329,1.0,1,polyIC,WT,synthetic_10
0.938,0.0,1.0,1,polyIC,relacrelKO,synthetic_10
0.093,0.528,0.2,1,polyIC,irf3irf7KO,synthetic_10
0.0,0.47,0.0,1,polyIC,irf3irf5irf7KO,synthetic_10
0.288,1.0,0.6,1,LPS,WT,synthetic_11
0.189,1.0,0.6,0,LPS,p50KO,synthetic_11
0.01,0.929,0.0,1,CpG,WT,synthetic_11
0.011,0.772,0.3,0,CpG,p50KO,synthetic_11
0.217,0.0,0.2,1,LPS,relacrelKO,synthetic_11
0.008,0.873,0.0,1,LPS,irf3irf7KO,synthetic_11
1.0,0.622,1.0,1,polyIC,WT,synthetic_11
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_11
0.101,0.476,0.2,1,polyIC,irf3irf7KO,synthetic_11
0.0,0.556,0.0,1,polyIC,irf3irf5irf7KO,synthetic_11
0.242,0.798,0.6,1,LPS,WT,synthetic_12
0.198,0.907,0.6,0,LPS,p50KO,synthetic_12
0.01,0.68,0.0,1,CpG,WT,synthetic_12
0.01,1.0,0.3,0,CpG,p50KO,synthetic_12
0.209,0.0,0.2,1,LPS,relacrelKO,synthetic_12
0.008,1.0,0.0,1,LPS,irf3irf7KO,synthetic_12
1.0,0.499,1.0,1,polyIC,WT,synthetic_12
0.916,0.0,1.0,1,polyIC,relacrelKO,synthetic_12
0.092,0.54,0.2,1,polyIC,irf3irf7KO,synthetic_12
0.0,0.528,0.0,1,polyIC,irf3irf5irf7KO,synthetic_12
0.194,0.889,0.6,1,LPS,WT,synthetic_13
0.265,1.0,0.6,0,LPS,p50KO,synthetic_13
0.01,0.607,0.0,1,CpG,WT,synthetic_13
0.011,0.894,0.3,0,CpG,p50KO,synthetic_13
0.213,0.0,0.2,1,LPS,relacrelKO,synthetic_13
0.012,1.0,0.0,1,LPS,irf3irf7KO,synthetic_13
0.906,0.456,1.0,1,polyIC,WT,synthetic_13
0.933,0.0,1.0,1,polyIC,relacrelKO,synthetic_13
0.092,0.493,0.2,1,polyIC,irf3irf7KO,synthetic_13
0.0,0.601,0.0,1,polyIC,irf3irf5irf7KO,synthetic_13
0.302,1.0,0.6,1,LPS,WT,synthetic_14
0.284,1.0,0.6,0,LPS,p50KO,synthetic_14
0.01,0.948,0.0,1,CpG,WT,synthetic_14
0.01,0.7,0.3,0,CpG,p50KO,synthetic_14
0.239,0.0,0.2,1,LPS,relacrelKO,synthetic_14
0.01,1.0,0.0,1,LPS,irf3irf7KO,synthetic_14
1.0,0.605,1.0,1,polyIC,WT,synthetic_14
0.937,0.0,1.0,1,polyIC,relacrelKO,synthetic_14
0.106,0.624,0.2,1,polyIC,irf3irf7KO,synthetic_14
0.0,0.464,0.0,1,polyIC,irf3irf5irf7KO,synthetic_14
0.29,0.969,0.6,1,LPS,WT,synthetic_15
0.183,0.8,0.6,0,LPS,p50KO,synthetic_15
0.01,0.776,0.0,1,CpG,WT,synthetic_15
0.008,0.649,0.3,0,CpG,p50KO,synthetic_15
0.262,0.0,0.2,1,LPS,relacrelKO,synthetic_15
0.008,1.0,0.0,1,LPS,irf3irf7KO,synthetic_15
0.879,0.641,1.0,1,polyIC,WT,synthetic_15
0.949,0.0,1.0,1,polyIC,relacrelKO,synthetic_15
0.077,0.558,0.2,1,polyIC,irf3irf7KO,synthetic_15
0.0,0.521,0.0,1,polyIC,irf3irf5irf7KO,synthetic_15
0.204,0.943,0.6,1,LPS,WT,synthetic_16
0.288,0.692,0.6,0,LPS,p50KO,synthetic_16
0.01,0.879,0.0,1,CpG,WT,synthetic_16
0.011,0.787,0.3,0,CpG,p50KO,synthetic_16
0.259,0.0,0.2,1,LPS,relacrelKO,synthetic_16
0.008,1.0,0.0,1,LPS,irf3irf7KO,synthetic_16
0.867,0.44,1.0,1,polyIC,WT,synthetic_16
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_16
0.09,0.671,0.2,1,polyIC,irf3irf7KO,synthetic_16
0.0,0.314,0.0,1,polyIC,irf3irf5irf7KO,synthetic_16
0.228,0.932,0.6,1,LPS,WT,synthetic_17
0.273,1.0,0.6,0,LPS,p50KO,synthetic_17
0.009,0.684,0.0,1,CpG,WT,synthetic_17
0.009,0.626,0.3,0,CpG,p50KO,synthetic_17
0.289,0.0,0.2,1,LPS,relacrelKO,synthetic_17
0.01,0.544,0.0,1,LPS,irf3irf7KO,synthetic_17
1.0,0.449,1.0,1,polyIC,WT,synthetic_17
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_17
0.097,0.62,0.2,1,polyIC,irf3irf7KO,synthetic_17
0.0,0.434,0.0,1,polyIC,irf3irf5irf7KO,synthetic_17
0.224,0.969,0.6,1,LPS,WT,synthetic_18
0.231,0.993,0.6,0,LPS,p50KO,synthetic_18
0.01,0.739,0.0,1,CpG,WT,synthetic_18
0.009,0.764,0.3,0,CpG,p50KO,synthetic_18
0.265,0.0,0.2,1,LPS,relacrelKO,synthetic_18
0.009,0.755,0.0,1,LPS,irf3irf7KO,synthetic_18
0.883,0.579,1.0,1,polyIC,WT,synthetic_18
0.896,0.0,1.0,1,polyIC,relacrelKO,synthetic_18
0.109,0.376,0.2,1,polyIC,irf3irf7KO,synthetic_18
0.0,0.534,0.0,1,polyIC,irf3irf5irf7KO,synthetic_18
0.268,0.735,0.6,1,LPS,WT,synthetic_19
0.204,1.0,0.6,0,LPS,p50KO,synthetic_19
0.01,0.919,0.0,1,CpG,WT,synthetic_19
0.01,0.89,0.3,0,CpG,p50KO,synthetic_19
0.268,0.0,0.2,1,LPS,relacrelKO,synthetic_19
0.011,1.0,0.0,1,LPS,irf3irf7KO,synthetic_19
1.0,0.385,1.0,1,polyIC,WT,synthetic_19
0.745,0.0,1.0,1,polyIC,relacrelKO,synthetic_19
0.104,0.524,0.2,1,polyIC,irf3irf7KO,synthetic_19
0.0,0.607,0.0,1,polyIC,irf3irf5irf7KO,synthetic_19
0.224,1.0,0.6,1,LPS,WT,synthetic_20
0.252,0.938,0.6,0,LPS,p50KO,synthetic_20
0.01,0.501,0.0,1,CpG,WT,synthetic_20
0.008,0.959,0.3,0,CpG,p50KO,synthetic_20
0.301,0.0,0.2,1,LPS,relacrelKO,synthetic_20
0.011,0.933,0.0,1,LPS,irf3irf7KO,synthetic_20
1.0,0.446,1.0,1,polyIC,WT,synthetic_20
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_20
0.093,0.442,0.2,1,polyIC,irf3irf7KO,synthetic_20
0.0,0.48,0.0,1,polyIC,irf3irf5irf7KO,synthetic_20
0.309,0.901,0.6,1,LPS,WT,synthetic_21
0.237,0.969,0.6,0,LPS,p50KO,synthetic_21
0.01,0.546,0.0,1,CpG,WT,synthetic_21
0.007,0.734,0.3,0,CpG,p50KO,synthetic_21
0.295,0.0,0.2,1,LPS,relacrelKO,synthetic_21
0.009,1.0,0.0,1,LPS,irf3irf7KO,synthetic_21
1.0,0.6,1.0,1,polyIC,WT,synthetic_21
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_21
0.107,0.509,0.2,1,polyIC,irf3irf7KO,synthetic_21
0.0,0.302,0.0,1,polyIC,irf3irf5irf7KO,synthetic_21
0.218,1.0,0.6,1,LPS,WT,synthetic_22
0.252,0.766,0.6,0,LPS,p50KO,synthetic_22
0.013,0.779,0.0,1,CpG,WT,synthetic_22
0.009,0.889,0.3,0,CpG,p50KO,synthetic_22
0.245,0.0,0.2,1,LPS,relacrelKO,synthetic_22
0.009,1.0,0.0,1,LPS,irf3irf7KO,synthetic_22
0.971,0.614,1.0,1,polyIC,WT,synthetic_22
0.851,0.0,1.0,1,polyIC,relacrelKO,synthetic_22
0.082,0.516,0.2,1,polyIC,irf3irf7KO,synthetic_22
0.0,0.548,0.0,1,polyIC,irf3irf5irf7KO,synthetic_22
0.274,0.839,0.6,1,LPS,WT,synthetic_23
0.335,1.0,0.6,0,LPS,p50KO,synthetic_23
0.009,0.66,0.0,1,CpG,WT,synthetic_23
0.012,0.832,0.3,0,CpG,p50KO,synthetic_23
0.229,0.0,0.2,1,LPS,relacrelKO,synthetic_23
0.007,1.0,0.0,1,LPS,irf3irf7KO,synthetic_23
0.911,0.721,1.0,1,polyIC,WT,synthetic_23
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_23
0.078,0.583,0.2,1,polyIC,irf3irf7KO,synthetic_23
0.0,0.455,0.0,1,polyIC,irf3irf5irf7KO,synthetic_23
0.267,0.862,0.6,1,LPS,WT,synthetic_24
0.225,1.0,0.6,0,LPS,p50KO,synthetic_24
0.009,0.858,0.0,1,CpG,WT,synthetic_24
0.009,0.839,0.3,0,CpG,p50KO,synthetic_24
0.221,0.0,0.2,1,LPS,relacrelKO,synthetic_24
0.011,1.0,0.0,1,LPS,irf3irf7KO,synthetic_24
0.908,0.447,1.0,1,polyIC,WT,synthetic_24
0.988,0.0,1.0,1,polyIC,relacrelKO,synthetic_24
0.107,0.566,0.2,1,polyIC,irf3irf7KO,synthetic_24
0.0,0.506,0.0,1,polyIC,irf3irf5irf7KO,synthetic_24
0.324,1.0,0.6,1,LPS,WT,synthetic_25
0.207,0.823,0.6,0,LPS,p50KO,synthetic_25
0.01,0.754,0.0,1,CpG,WT,synthetic_25
0.009,0.813,0.3,0,CpG,p50KO,synthetic_25
0.246,0.0,0.2,1,LPS,relacrelKO,synthetic_25
0.013,0.801,0.0,1,LPS,irf3irf7KO,synthetic_25
0.919,0.494,1.0,1,polyIC,WT,synthetic_25
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_25
0.117,0.491,0.2,1,polyIC,irf3irf7KO,synthetic_25
0.0,0.502,0.0,1,polyIC,irf3irf5irf7KO,synthetic_25
0.257,1.0,0.6,1,LPS,WT,synthetic_26
0.274,1.0,0.6,0,LPS,p50KO,synthetic_26
0.01,0.944,0.0,1,CpG,WT,synthetic_26
0.011,0.999,0.3,0,CpG,p50KO,synthetic_26
0.192,0.0,0.2,1,LPS,relacrelKO,synthetic_26
0.011,1.0,0.0,1,LPS,irf3irf7KO,synthetic_26
0.629,0.49,1.0,1,polyIC,WT,synthetic_26
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_26
0.101,0.505,0.2,1,polyIC,irf3irf7KO,synthetic_26
0.0,0.506,0.0,1,polyIC,irf3irf5irf7KO,synthetic_26
0.258,1.0,0.6,1,LPS,WT,synthetic_27
0.253,0.972,0.6,0,LPS,p50KO,synthetic_27
0.009,0.906,0.0,1,CpG,WT,synthetic_27
0.01,0.928,0.3,0,CpG,p50KO,synthetic_27
0.169,0.0,0.2,1,LPS,relacrelKO,synthetic_27
0.01,0.821,0.0,1,LPS,irf3irf7KO,synthetic_27
0.999,0.529,1.0,1,polyIC,WT,synthetic_27
0.997,0.0,1.0,1,polyIC,relacrelKO,synthetic_27
0.132,0.53,0.2,1,polyIC,irf3irf7KO,synthetic_27
0.0,0.55,0.0,1,polyIC,irf3irf5irf7KO,synthetic_27
0.221,1.0,0.6,1,LPS,WT,synthetic_28
0.243,0.9,0.6,0,LPS,p50KO,synthetic_28
0.009,0.811,0.0,1,CpG,WT,synthetic_28
0.013,0.855,0.3,0,CpG,p50KO,synthetic_28
0.166,0.0,0.2,1,LPS,relacrelKO,synthetic_28
0.008,1.0,0.0,1,LPS,irf3irf7KO,synthetic_28
1.0,0.348,1.0,1,polyIC,WT,synthetic_28
0.853,0.0,1.0,1,polyIC,relacrelKO,synthetic_28
0.117,0.527,0.2,1,polyIC,irf3irf7KO,synthetic_28
0.0,0.428,0.0,1,polyIC,irf3irf5irf7KO,synthetic_28
0.25,0.9,0.6,1,LPS,WT,synthetic_29
0.288,1.0,0.6,0,LPS,p50KO,synthetic_29
0.008,0.652,0.0,1,CpG,WT,synthetic_29
0.012,0.718,0.3,0,CpG,p50KO,synthetic_29
0.227,0.0,0.2,1,LPS,relacrelKO,synthetic_29
0.009,1.0,0.0,1,LPS,irf3irf7KO,synthetic_29
0.838,0.464,1.0,1,polyIC,WT,synthetic_29
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_29
0.082,0.374,0.2,1,polyIC,irf3irf7KO,synthetic_29
0.0,0.5,0.0,1,polyIC,irf3irf5irf7KO,synthetic_29
0.266,0.852,0.6,1,LPS,WT,synthetic_30
0.231,1.0,0.6,0,LPS,p50KO,synthetic_30
0.007,0.89,0.0,1,CpG,WT,synthetic_30
0.011,0.59,0.3,0,CpG,p50KO,synthetic_30
0.329,0.0,0.2,1,LPS,relacrelKO,synthetic_30
0.008,1.0,0.0,1,LPS,irf3irf7KO,synthetic_30
0.826,0.408,1.0,1,polyIC,WT,synthetic_30
0.836,0.0,1.0,1,polyIC,relacrelKO,synthetic_30
0.109,0.415,0.2,1,polyIC,irf3irf7KO,synthetic_30
0.0,0.553,0.0,1,polyIC,irf3irf5irf7KO,synthetic_30
0.187,1.0,0.6,1,LPS,WT,synthetic_31
0.28,0.993,0.6,0,LPS,p50KO,synthetic_31
0.012,0.641,0.0,1,CpG,WT,synthetic_31
0.009,0.751,0.3,0,CpG,p50KO,synthetic_31
0.232,0.0,0.2,1,LPS,relacrelKO,synthetic_31
0.013,0.967,0.0,1,LPS,irf3irf7KO,synthetic_31
1.0,0.462,1.0,1,polyIC,WT,synthetic_31
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_31
0.11,0.424,0.2,1,polyIC,irf3irf7KO,synthetic_31
0.0,0.437,0.0,1,polyIC,irf3irf5irf7KO,synthetic_31
0.272,0.985,0.6,1,LPS,WT,synthetic_32
0.197,0.98,0.6,0,LPS,p50KO,synthetic_32
0.011,0.958,0.0,1,CpG,WT,synthetic_32
0.01,0.926,0.3,0,CpG,p50KO,synthetic_32
0.23,0.0,0.2,1,LPS,relacrelKO,synthetic_32
0.013,0.912,0.0,1,LPS,irf3irf7KO,synthetic_32
1.0,0.575,1.0,1,polyIC,WT,synthetic_32
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_32
0.108,0.466,0.2,1,polyIC,irf3irf7KO,synthetic_32
0.0,0.527,0.0,1,polyIC,irf3irf5irf7KO,synthetic_32
0.28,1.0,0.6,1,LPS,WT,synthetic_33
0.282,0.963,0.6,0,LPS,p50KO,synthetic_33
0.012,0.708,0.0,1,CpG,WT,synthetic_33
0.01,0.636,0.3,0,CpG,p50KO,synthetic_33
0.257,0.0,0.2,1,LPS,relacrelKO,synthetic_33
0.009,1.0,0.0,1,LPS,irf3irf7KO,synthetic_33
0.861,0.407,1.0,1,polyIC,WT,synthetic_33
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_33
0.113,0.516,0.2,1,polyIC,irf3irf7KO,synthetic_33
0.0,0.475,0.0,1,polyIC,irf3irf5irf7KO,synthetic_33
0.232,1.0,0.6,1,LPS,WT,synthetic_34
0.236,0.905,0.6,0,LPS,p50KO,synthetic_34
0.008,0.885,0.0,1,CpG,WT,synthetic_34
0.01,0.752,0.3,0,CpG,p50KO,synthetic_34
0.3,0.0,0.2,1,LPS,relacrelKO,synthetic_34
0.011,0.764,0.0,1,LPS,irf3irf7KO,synthetic_34
1.0,0.457,1.0,1,polyIC,WT,synthetic_34
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_34
0.11,0.601,0.2,1,polyIC,irf3irf7KO,synthetic_34
0.0,0.474,0.0,1,polyIC,irf3irf5irf7KO,synthetic_34
0.251,1.0,0.6,1,LPS,WT,synthetic_35
0.253,0.88,0.6,0,LPS,p50KO,synthetic_35
0.012,0.653,0.0,1,CpG,WT,synthetic_35
0.009,1.0,0.3,0,CpG,p50KO,synthetic_35
0.286,0.0,0.2,1,LPS,relacrelKO,synthetic_35
0.011,0.96,0.0,1,LPS,irf3irf7KO,synthetic_35
1.0,0.615,1.0,1,polyIC,WT,synthetic_35
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_35
0.073,0.484,0.2,1,polyIC,irf3irf7KO,synthetic_35
0.0,0.58,0.0,1,polyIC,irf3irf5irf7KO,synthetic_35
0.272,0.884,0.6,1,LPS,WT,synthetic_36
0.252,1.0,0.6,0,LPS,p50KO,synthetic_36
0.01,0.769,0.0,1,CpG,WT,synthetic_36
0.01,0.662,0.3,0,CpG,p50KO,synthetic_36
0.26,0.0,0.2,1,LPS,relacrelKO,synthetic_36
0.011,0.993,0.0,1,LPS,irf3irf7KO,synthetic_36
0.73,0.489,1.0,1,polyIC,WT,synthetic_36
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_36
0.102,0.454,0.2,1,polyIC,irf3irf7KO,synthetic_36
0.0,0.552,0.0,1,polyIC,irf3irf5irf7KO,synthetic_36
0.195,0.973,0.6,1,LPS,WT,synthetic_37
0.302,0.921,0.6,0,LPS,p50KO,synthetic_37
0.009,0.506,0.0,1,CpG,WT,synthetic_37
0.011,0.882,0.3,0,CpG,p50KO,synthetic_37
0.246,0.0,0.2,1,LPS,relacrelKO,synthetic_37
0.008,0.936,0.0,1,LPS,irf3irf7KO,synthetic_37
0.833,0.485,1.0,1,polyIC,WT,synthetic_37
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_37
0.083,0.558,0.2,1,polyIC,irf3irf7KO,synthetic_37
0.0,0.411,0.0,1,polyIC,irf3irf5irf7KO,synthetic_37
0.255,0.879,0.6,1,LPS,WT,synthetic_38
0.132,0.941,0.6,0,LPS,p50KO,synthetic_38
0.01,0.8,0.0,1,CpG,WT,synthetic_38
0.007,0.487,0.3,0,CpG,p50KO,synthetic_38
0.294,0.0,0.2,1,LPS,relacrelKO,synthetic_38
0.01,0.836,0.0,1,LPS,irf3irf7KO,synthetic_38
0.954,0.449,1.0,1,polyIC,WT,synthetic_38
0.907,0.0,1.0,1,polyIC,relacrelKO,synthetic_38
0.092,0.51,0.2,1,polyIC,irf3irf7KO,synthetic_38
0.0,0.499,0.0,1,polyIC,irf3irf5irf7KO,synthetic_38
0.245,1.0,0.6,1,LPS,WT,synthetic_39
0.19,1.0,0.6,0,LPS,p50KO,synthetic_39
0.008,0.964,0.0,1,CpG,WT,synthetic_39
0.01,0.834,0.3,0,CpG,p50KO,synthetic_39
0.239,0.0,0.2,1,LPS,relacrelKO,synthetic_39
0.013,1.0,0.0,1,LPS,irf3irf7KO,synthetic_39
0.544,0.459,1.0,1,polyIC,WT,synthetic_39
0.831,0.0,1.0,1,polyIC,relacrelKO,synthetic_39
0.102,0.432,0.2,1,polyIC,irf3irf7KO,synthetic_39
0.0,0.562,0.0,1,polyIC,irf3irf5irf7KO,synthetic_39
0.255,1.0,0.6,1,LPS,WT,synthetic_40
0.283,0.96,0.6,0,LPS,p50KO,synthetic_40
0.011,0.82,0.0,1,CpG,WT,synthetic_40
0.011,0.656,0.3,0,CpG,p50KO,synthetic_40
0.2,0.0,0.2,1,LPS,relacrelKO,synthetic_40
0.012,1.0,0.0,1,LPS,irf3irf7KO,synthetic_40
1.0,0.493,1.0,1,polyIC,WT,synthetic_40
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_40
0.093,0.499,0.2,1,polyIC,irf3irf7KO,synthetic_40
0.0,0.593,0.0,1,polyIC,irf3irf5irf7KO,synthetic_40
0.213,1.0,0.6,1,LPS,WT,synthetic_41
0.227,1.0,0.6,0,LPS,p50KO,synthetic_41
0.011,0.587,0.0,1,CpG,WT,synthetic_41
0.01,0.804,0.3,0,CpG,p50KO,synthetic_41
0.275,0.0,0.2,1,LPS,relacrelKO,synthetic_41
0.01,0.817,0.0,1,LPS,irf3irf7KO,synthetic_41
0.831,0.463,1.0,1,polyIC,WT,synthetic_41
0.926,0.0,1.0,1,polyIC,relacrelKO,synthetic_41
0.105,0.402,0.2,1,polyIC,irf3irf7KO,synthetic_41
0.0,0.521,0.0,1,polyIC,irf3irf5irf7KO,synthetic_41
0.256,1.0,0.6,1,LPS,WT,synthetic_42
0.23,0.713,0.6,0,LPS,p50KO,synthetic_42
0.009,0.701,0.0,1,CpG,WT,synthetic_42
0.01,0.968,0.3,0,CpG,p50KO,synthetic_42
0.298,0.0,0.2,1,LPS,relacrelKO,synthetic_42
0.011,0.845,0.0,1,LPS,irf3irf7KO,synthetic_42
0.82,0.382,1.0,1,polyIC,WT,synthetic_42
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_42
0.097,0.412,0.2,1,polyIC,irf3irf7KO,synthetic_42
0.0,0.431,0.0,1,polyIC,irf3irf5irf7KO,synthetic_42
0.258,0.79,0.6,1,LPS,WT,synthetic_43
